NODES,,,,,,,,,,,,,,,,,,,,,
ID,X,Y,Z,,,,,,,,,,,,,,,,,,
84,52,40,5,1,,,,,,,,,,,,,,,,,
85,54,55,5,1,,,,,,,,,,,,,,,,,
86,54,53,5,1,,,,,,,,,,,,,,,,,
87,54,40,5,1,,,,,,,,,,,,,,,,,
88,54,42,5,1,,,,,,,,,,,,,,,,,
89,56,57,5,1,,,,,,,,,,,,,,,,,
90,56,55,5,1,,,,,,,,,,,,,,,,,
91,56,42,5,1,,,,,,,,,,,,,,,,,
92,56,44,5,1,,,,,,,,,,,,,,,,,
93,58,59,5,1,,,,,,,,,,,,,,,,,
94,58,57,5,1,,,,,,,,,,,,,,,,,
95,58,44,5,1,,,,,,,,,,,,,,,,,
96,58,46,5,1,,,,,,,,,,,,,,,,,
97,60,61,5,1,,,,,,,,,,,,,,,,,
98,60,62,5,1,,,,,,,,,,,,,,,,,
99,60,49,5,1,,,,,,,,,,,,,,,,,
100,60,48,5,1,,,,,,,,,,,,,,,,,
101,63,64,5,1,,,,,,,,,,,,,,,,,
102,63,61,5,1,,,,,,,,,,,,,,,,,
103,63,48,5,1,,,,,,,,,,,,,,,,,
104,63,51,5,1,,,,,,,,,,,,,,,,,
105,65,66,5,1,,,,,,,,,,,,,,,,,
106,65,64,5,1,,,,,,,,,,,,,,,,,
107,65,51,5,1,,,,,,,,,,,,,,,,,
108,65,53,5,1,,,,,,,,,,,,,,,,,
109,67,68,5,1,,,,,,,,,,,,,,,,,
110,67,66,5,1,,,,,,,,,,,,,,,,,
111,67,53,5,1,,,,,,,,,,,,,,,,,
112,67,55,5,1,,,,,,,,,,,,,,,,,
113,69,70,5,1,,,,,,,,,,,,,,,,,
114,69,68,5,1,,,,,,,,,,,,,,,,,
115,69,55,5,1,,,,,,,,,,,,,,,,,
116,69,57,5,1,,,,,,,,,,,,,,,,,
117,71,72,5,1,,,,,,,,,,,,,,,,,
118,71,70,5,1,,,,,,,,,,,,,,,,,
119,71,57,5,1,,,,,,,,,,,,,,,,,
120,71,59,5,1,,,,,,,,,,,,,,,,,
121,73,74,5,1,,,,,,,,,,,,,,,,,
122,73,75,5,1,,,,,,,,,,,,,,,,,
123,73,62,5,1,,,,,,,,,,,,,,,,,
124,73,61,5,1,,,,,,,,,,,,,,,,,
125,76,77,5,1,,,,,,,,,,,,,,,,,
126,76,74,5,1,,,,,,,,,,,,,,,,,
127,76,61,5,1,,,,,,,,,,,,,,,,,
128,76,64,5,1,,,,,,,,,,,,,,,,,
